"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
2/27/2012 12:00:00 AM,93.1500,,"Vista Prints","","","","","95 Hayden Avenue","","Lexington","MA","02421","MON","fundraising materials",
2/15/2012 12:00:00 AM,56.9900,,"Vista Prints","","","","","95 Hayden Avenue","","Lexington","MN","02421","MON","web hosting",
2/27/2012 12:00:00 AM,80.0000,,"Supervisor of Elections","","","","","240 South Military Trail ","","West Palm Beach","FL","33415","MON","voter information",
3/5/2012 12:00:00 AM,57.8200,,"Staples","","","","","1260 Northlake Blvd.","","Lake Park","FL","33403","MON","offfice supplies",
3/5/2012 12:00:00 AM,33.0000,,"Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Petition verification",
3/8/2012 12:00:00 AM,3.8600,,"Vista Prints","","","","","95 Hayden Avenue","","Lexington","MA","02421","MON","web hosting",
3/11/2012 12:00:00 AM,4.9500,,"PayPal","","","","","2211 North First Street","","San Jose, California","CA","95131","MON","PayPal fee",
3/14/2012 12:00:00 AM,4.0000,,"Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","PCS","maps",
3/14/2012 12:00:00 AM,38.4000,,"Supervisor of Elections","","","","","240 South Military Trail","","West Palm Beach","FL","33415","MON","Petition verification",
3/14/2012 12:00:00 AM,3.2000,,"PayPal","","","","","2211 North First Street","","San Jose, California","CA","95131","MON","PayPal fee",
3/15/2012 12:00:00 AM,24.3900,,"Vista Prints","","","","","95 Hayden Avenue","","Lexington","MA","02421","MON","office supplies",
3/26/2012 12:00:00 AM,3.2000,,"PayPal","","","","","2211 North First Street","","San Jose, California","CA","95131","MON","PayPal fee",
2/15/2012 12:00:00 AM,194.3100,,"Vista Prints","","","","","95 Hayden Avenue ","","Lexington","MA","02421","MON","Printing",
2/21/2012 12:00:00 AM,261.7100,,"Vista Prints","","","","","95 Hayden Avenue","","Lexington","MA","02421","MON","Printing",
