"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/6/2007 12:00:00 AM,500.0000,,"A/Z Printing, Inc.","","","","","P.O. Box 811434","","Boca Raton","FL","33481","MON","business cards",
7/27/2007 12:00:00 AM,342.0000,,"Palm Beach County Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","voter registration data",
8/15/2007 12:00:00 AM,95.8400,,"FedEx Kinko's","","","","","2501 N. Federal Highway","","Boca Raton","FL","33431","MON","visual aid for speech",
8/31/2007 12:00:00 AM,127.3800,,"Riverside Nat'l Bank","","","","","5070 W. Atlantic Ave.","","Delray Beach","FL","33484","MON","credit card merchant acct fee setup",
8/30/2007 12:00:00 AM,212.5000,,"Speech Writers, Inc.","","","","","www.thewriterscompany.com","","N/A","NA","NA","MON","Speech Writing",
8/15/2007 12:00:00 AM,387.6600,,"T-Shirt Expressions, Inc.","","","","","2522 N.W. Boca Raton Blvd","","Boca Raton","FL","33431","MON","tee shirts/advertising",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/31/2007 12:00:00 AM,40.0000,,"Riverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
11/30/2007 12:00:00 AM,40.0000,,"Riverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
12/31/2007 12:00:00 AM,40.0000,,"Riverside Bank ","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
1/3/2008 12:00:00 AM,25.0000,,"Riverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
1/3/2008 12:00:00 AM,15.0000,,"Riverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
1/3/2008 12:00:00 AM,10.0000,,"Roverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
1/3/2008 12:00:00 AM,7.5000,,"Riverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
1/3/2008 12:00:00 AM,0.0700,,"Riverside Bank","","","","","P.O. Box 2020","","Fort Pierce","FL","34954-2020","MON","bank charges",
