"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/10/2010 12:00:00 AM,25.0000,,"Palms West Chamber of Commerce","","","","","Southern Boulevard","","Loxahatchee","FL","33470","MON","Palms West Chamber Luncheon",
5/18/2010 12:00:00 AM,55.0000,,"PBC Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","FL","33415","MON","CD with list of registered voters ",
5/17/2010 12:00:00 AM,8.4400,,"Walmart","","","","","State Road 7 & Belvedere Rd.","","Royal Palm Beach","FL","33411","MON","Envelopes and copy paper",
5/10/2010 12:00:00 AM,3.3700,,"Walmart","","","","","State Road 7 & Belvedere Rd.","","Royal Palm Beach","FL","33411","MON","Duct Tape for truck sign",
5/4/2010 12:00:00 AM,63.9000,,"Signs of Distinction","","","","","150 Business Park Way","Suite 1","Royal Palm Beach","FL","33411","MON","Sign for truck",
7/8/2010 12:00:00 AM,21.2800,,"Walgreens","","","","","12001 Southern Blvd.","","Loxahatchee","FL","33470","MON","Refill ink cartridges for printer",
5/29/2010 12:00:00 AM,901.3900,,"PremiumGraphicxSign","","","","","5512 Mitchelldale Street","","Houston","TX","77092-7218","CCP","Yard Signs",
7/9/2010 12:00:00 AM,426.9600,,"Print-It Plus","","","","","11420 Okeechobee Blvd.","","Royal Palm Beach","FL","33411","MON","Campaign Cards",
4/29/2010 12:00:00 AM,6.0000,,"CVS Pharmacy","","","","","10245 Okeechobee Blvd.","","WPB","FL","33411","MON","Clipboards",
5/1/2010 12:00:00 AM,25.5400,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","FL","33414","MON","Business Cards, Letterhead",
5/2/2010 12:00:00 AM,9.4300,,"Walmart","","","","","State Road 7 & Belvedere Rd.","","West Palm Beach","FL","33411","MON","Clipboards, business cards",
5/3/2010 12:00:00 AM,23.9300,,"Home Depot","","","","","220 S. State Road 7","","West Palm Beach","FL","33414","MON","Sign Hardware and Materials",
7/16/2010 12:00:00 AM,100.0000,,"Signs of Distinction","","","","","150 Business Park Way","","Royal Palm Beach","FL","33411","MON","Campaign T-Shirt Order Deposit",
6/12/2010 12:00:00 AM,47.9200,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","Fl","33414","MON","Ink Cartridges",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/14/2010 12:00:00 AM,1637.2800,"ADD","PBC Supervisor of Elections","","","","","240 S. Military Trail","","West Palm Beach","Fl","33416","MON","Qualifying Fees",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/27/2010 12:00:00 AM,146.0200,,"Signs of Distinction","","","","","150 Business Park Way","","Royal Palm Beach","FL","33411","MON","Campaign T-Shirts - Balance",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/31/2010 12:00:00 AM,32.4600,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","FL","33414","MON","Labels, Copy Paper",
8/6/2010 12:00:00 AM,21.1700,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","FL","33414","MON","Copying flyer",
8/6/2010 12:00:00 AM,4.2900,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","FL","33414","MON","Copying flyer",
8/6/2010 12:00:00 AM,38.8100,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","FL","33414","MON","Copying flyer",
8/6/2010 12:00:00 AM,13.8400,,"Office Depot","","","","","101A S. State Rd. 7","","West Palm Beach","FL","33414","MON","Paper for flyers",
8/4/2010 12:00:00 AM,132.0000,,"U.S. Post Office","","","","","Summit Blvd.","","West Palm Beach","FL","33406","MON","Postage to mail campaign letters",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/24/2010 12:00:00 AM,428.9700,,"","Ron","","Young","","12986 Marcella Blvd.","","Loxahatchee","FL","33470","MON","Pay loan ",
