"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
6/27/2012 12:00:00 AM,74.7600,,"Minuteman press","","","","","1601 Commerce Ln","ste 102","Jupiter","FL","33458","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
7/13/2012 12:00:00 AM,200.0000,,"WJTW","","","","","342 Toney Penna Dr.","","Jupiter","FL","33458","MON","Advertising",
7/19/2012 12:00:00 AM,583.0000,,"Applications Inc","","","","","16707 130th Way N.","","Jupitet","FL","33478","MON","Printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
8/1/2012 12:00:00 AM,68.6000,,"Minuteman Press","","","","","1601 Commerce Lane Ste. 102","","Jupiter","FL","33458","MON","printing",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/20/2012 12:00:00 AM,100.0000,,"Rey Design Group","","","","","200 Lindell Blvd","","Delray Beach ","FL","33483","MON","Advertising",
9/20/2012 12:00:00 AM,98.6400,,"St Jude's Children's Hospital","","","","","262 Danny Thomas Place","","Memphis","TN","38105","DIS","Donation",
