"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/24/2015 12:00:00 AM,1.4700,,"Raise the Money, Inc.","","","","","PO Box 26466","","Litte Rock ","AR","72221","MON","Online Donation Processing Fee",
9/28/2015 12:00:00 AM,250.0000,,"Port of Palm Beach","","","","","One East 11th Street","","Riviera Beach ","FL","33404","MON","Event Ticket ",
9/28/2015 12:00:00 AM,2.7000,,"Raise the Money, Inc.","","","","","PO Box 26466","","Litte Rock","AR","72221","MON","Online Donation Processing Fee",
9/29/2015 12:00:00 AM,130.6200,,"Raise the Money, Inc.","","","","","PO Box 26466","","Litte Rock","AR","72221","MON","Online Donation Processing Fee",
9/30/2015 12:00:00 AM,5.8900,,"Raise the Money, Inc.","","","","","PO Box 26466","","Litte Rock","AR","72221","MON","Online Donation Processing Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/6/2015 12:00:00 AM,5.1500,,"Raise The Money, Inc.","","","","","P.O. Box 26466","","Little Rock","AR","72221","MON","Online Donation Processing Fee",
10/28/2015 12:00:00 AM,20.1100,,"Raise The Money, Inc.","","","","","P.O. Box 26466","","Little Rock","AR","72221","MON","Online Donation Processing Fee",
10/20/2015 12:00:00 AM,103.6300,,"Wells Fargo","","","","","5849 Okeechobee Blvd.","","West Palm Beach","FL","33417","MON","Banking Supplies",
10/26/2015 12:00:00 AM,60.0000,,"Palm Beach - Treasure Coast AFL-CIO","","","","","1001 W. 15th Street","","Riviera Beach","FL","33404","MON","Event Ticket",
10/26/2015 12:00:00 AM,75.0000,,"The Lord's Place","","","","","P.O. Box 3265","","West Palm Beach","FL","33402","MON","Event Ticket",
10/19/2015 12:00:00 AM,400.0000,,"Palm Beach County Democratic Party","","","","","8401 Lake Worth Road","#123","Lake Worth","FL","33467","MON","Ad",
